instruction,expected_output
Add a new IfcWindow in the kitchen with height 1400 and width 1600 mm.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""kitchen"", ""height"": 1400, ""width"": 1600}}]}"
Remove the IfcDoor with ID 1234 from the hallway.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""id"": ""1234"", ""location"": ""hallway""}}]}"
Change the height of IfcWall 789 to 2500 mm.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""id"": ""789"", ""height"": 2500}}]}"
Move IfcSlab 321 to the second floor.,"{""element_updates"": [{""type"": ""IfcSlab"", ""action"": ""modify"", ""target_properties"": {""id"": ""321"", ""floor"": ""second""}}]}"
Assign brick material to IfcWall 456.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""id"": ""456"", ""material"": ""brick""}}]}"
Remove all IfcWindows,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""scope"": ""all""}}]}"
Add a new IfcWindow in the kitchen with height 1400 and width 1600 mm.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""kitchen"", ""height"": 1.4, ""width"": 1.6}}]}"
Remove the IfcDoor with ID 1234 from the hallway.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""id"": ""1234"", ""location"": ""hallway""}}]}"
Change the height of IfcWall 7. to 2.5.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""id"": ""789"", ""height"": 2500}}]}"
Move IfcSlab 321 to the second floor.,"{""element_updates"": [{""type"": ""IfcSlab"", ""action"": ""modify"", ""target_properties"": {""id"": ""321"", ""floor"": ""second""}}]}"
Assign brick material to IfcWall 456.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""id"": ""456"", ""material"": ""brick""}}]}"
Add a new IfcWindow in the kitchen with height 1400 and width 1600 mm.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""kitchen"", ""height"": 1400, ""width"": 1600}, ""unit"": ""mm""}]}"
Remove all IfcDoor elements from the second floor.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""floor"": 2}}]}"
Change the material of all IfcWall elements to concrete.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""material"": ""concrete""}}]}"
Modify the height of all IfcColumn elements to 3000 mm.,"{""element_updates"": [{""type"": ""IfcColumn"", ""action"": ""modify"", ""target_properties"": {""height"": 3000}, ""unit"": ""mm""}]}"
Add a roof element with slope 25 degrees.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""slope"": 25}, ""unit"": ""degrees""}]}"
Delete all IfcBeam elements from the basement.,"{""element_updates"": [{""type"": ""IfcBeam"", ""action"": ""remove"", ""target_properties"": {""location"": ""basement""}}]}"
Update the thickness of IfcSlab elements on floor 1 to 250 mm.,"{""element_updates"": [{""type"": ""IfcSlab"", ""action"": ""modify"", ""target_properties"": {""floor"": 1, ""thickness"": 250}, ""unit"": ""mm""}]}"
Replace all IfcWindow frames with aluminum material.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""frame_material"": ""aluminum""}}]}"
Add a new IfcDoor at the main entrance with width 1000 mm and height 2100 mm.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""location"": ""main entrance"", ""width"": 1000, ""height"": 2100}, ""unit"": ""mm""}]}"
